Source,Target,Edge,Coef
ERF,NR1H2,1,0.3230930368188565
ETS1,NR1H2,-1,-0.04662797803834277
SP1,NR1H2,-1,-0.04280576558543733
TP53,NR1H2,1,0.019003381343477854
SP4,NR1H2,-1,-0.02933625365617996
STAT5B,NR1H2,1,0.07734972545845345
KLF15,NR1H2,1,0.05524672936946379
SPI1,NR1H2,1,0.18705319840658532
SOX2,NR1H2,1,0.014253301073860717
RFX2,NR1H2,1,0.10642172921323226
CEBPG,NR1H2,1,0.04718328983631533
XBP1,NR1H2,1,0.04750674294975658
STAT5A,NR1H2,1,0.14572793064155373
ELK4,NR1H2,-1,-0.0009883167159801096
RFX3,NR1H2,-1,-0.003954421064527006
HOXA4,NR1H2,-1,-0.1396249192662253
MSX1,NR1H2,1,0.12671447355638538
ETS2,NR1H2,1,0.04454119599863538
BCL6,NR1H2,1,0.029807609991458112
TFAP2A,NR1H2,-1,-0.03675226765716287
E2F1,MYBL2,1,0.36166485388823827
ETS1,MYBL2,1,0.12616372582181817
MEF2A,MYBL2,-1,-0.023446948419232005
TRIM28,MYBL2,1,0.0865255230549446
SP1,MYBL2,-1,-0.027742356890210953
NEUROD1,MYBL2,1,0.026852332675024012
HMGA1,MYBL2,1,0.04389530421865328
ZNF219,MYBL2,-1,-0.18493730715959852
KLF11,MYBL2,1,0.035611798042621164
SP4,MYBL2,-1,-0.010156673989563327
HOXC13,MYBL2,1,0.03750783286908563
E2F4,MYBL2,-1,-0.02750649458119731
SOX4,MYBL2,1,0.0351335807875087
SOX17,MYBL2,-1,-0.04181268179621896
RXRA,MYBL2,-1,-0.11017131827373401
KLF15,MYBL2,1,0.08034511684196044
JDP2,MYBL2,-1,-0.003018929382130506
ELF1,MYBL2,1,0.049735692246791266
SPI1,MYBL2,1,0.010641346251102616
SOX2,MYBL2,-1,-0.05070615260339895
SRF,MYBL2,-1,-0.1275419160072095
PATZ1,MYBL2,1,0.02279547246350823
TCF3,MYBL2,1,0.34952054294084195
IKZF1,MYBL2,-1,-0.06274540842485757
JUN,MYBL2,-1,-0.01823220186839572
NKX2-5,MYBL2,1,0.04115143335445196
STAT5A,MYBL2,-1,-2.3882721789404713e-05
SOX11,MYBL2,1,0.09764936130686973
EGR1,MYBL2,1,0.07877312769945702
FOXD3,MYBL2,1,0.03616621197491039
SCRT1,MYBL2,-1,-0.0781155209393601
SMAD3,MYBL2,-1,-0.1783355034858099
NKX3-1,MYBL2,-1,-0.001728728134074007
MAZ,MYBL2,1,0.21203646751723637
RORA,MYBL2,-1,-0.18064907976558303
BCL6,MYBL2,-1,-0.10872158262227749
SREBF1,MYBL2,-1,-0.024509130760685595
E2F8,MYBL2,1,0.3963370749640902
TFAP2A,MYBL2,1,0.0071083075636893265
ZNF35,MYBL2,1,0.02415600881271067
NFIX,ELF5,-1,-0.03328809702498971
ELF3,ELF5,1,0.30940401046259425
SOX21,ELF5,1,0.029815714420094945
CTF1,ELF5,1,0.04887349001331221
STAT4,ELF5,1,0.15919223562520965
HMGA1,ELF5,-1,-0.020890136163170966
LEF1,ELF5,-1,-3.728563813842133e-05
SRF,ELF5,-1,-0.058828183804453225
POU3F3,ELF5,-1,-0.058342000345989076
